offense_date,crime,a_c,district,Sport,Opponent,Outcome,GameCity,GameState,VenueName,LSUPoints,OpponentPoints,SpecialEvent,GameAttendance
2018-05-03,OTHER,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-01,OTHER,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-10,OTHER,COMMITTED,1,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-10,OTHER,COMMITTED,1,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-06,THEFT,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-27,OTHER,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-27,OTHER,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-11,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-24,OTHER,COMMITTED,3,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-13,OTHER,COMMITTED,1,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-08,BATTERY,COMMITTED,4,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-08,NON-RESIDENTIAL BURGLARY,COMMITTED,3,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-07,OTHER,COMMITTED,4,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-15,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,4,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-07,OTHER,COMMITTED,4,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-27,OTHER,COMMITTED,1,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-15,HOMICIDE,COMMITTED,4,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-07,THEFT,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-02,VEHICLE BURGLARY,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-09,THEFT,COMMITTED,4,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-09,THEFT,COMMITTED,4,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-24,OTHER,COMMITTED,3,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-15,HOMICIDE,COMMITTED,3,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-07,OTHER,COMMITTED,4,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-09,THEFT,COMMITTED,4,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-13,NON-RESIDENTIAL BURGLARY,COMMITTED,1,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-02,THEFT,COMMITTED,1,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-07,OTHER,COMMITTED,4,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-27,OTHER,COMMITTED,1,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-27,OTHER,COMMITTED,1,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-26,OTHER,COMMITTED,4,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-21,NARCOTICS,COMMITTED,Unknown,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-24,OTHER,COMMITTED,3,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-31,ASSAULT,COMMITTED,4,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-08,JUVENILE,COMMITTED,4,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-09,THEFT,COMMITTED,4,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-06,THEFT,COMMITTED,3,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-13,OTHER,COMMITTED,1,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-27,OTHER,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-26,OTHER,COMMITTED,1,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-26,NUISANCE,COMMITTED,1,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-14,NARCOTICS,COMMITTED,3,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-13,HOMICIDE,COMMITTED,1,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-21,OTHER,COMMITTED,1,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-20,NARCOTICS,COMMITTED,Unknown,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-26,OTHER,COMMITTED,Unknown,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-18,OTHER,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-22,NARCOTICS,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-06,THEFT,COMMITTED,4,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-19,THEFT,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-17,OTHER,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-10,THEFT,COMMITTED,Unknown,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-06,OTHER,COMMITTED,3,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-24,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,Unknown,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-30,OTHER,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-18,NARCOTICS,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-10,BATTERY,COMMITTED,Unknown,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-01,OTHER,COMMITTED,1,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-18,THEFT,COMMITTED,3,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-06,THEFT,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-19,ASSAULT,COMMITTED,4,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-06,NARCOTICS,COMMITTED,3,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-13,OTHER,COMMITTED,3,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-26,BATTERY,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-09,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,3,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-20,NON-RESIDENTIAL BURGLARY,COMMITTED,1,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-08,FIREARM,COMMITTED,4,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-04,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,2,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-11,ASSAULT,COMMITTED,3,Non Gameday,NA,NA,NA,NA,NA,NA,NA,NA,NA
